Genre, Number_of_movies
(Action,1331)
(Adventure,392)
(Animation,277)
(Biography,359)
(Comedy,2080)
(Crime,522)
(Drama,1444)
(Family,14)
(Fantasy,32)
(Horror,277)
(Musical,4)
(Mystery,38)
(Romance,15)
(Sci-Fi,13)
(Thriller,18)
(War,2)
(Western,2)

Year, Number_of_movies
(1986,220)
(1987,219)
(1988,220)
(1989,221)
(1990,220)
(1991,220)
(1992,220)
(1993,220)
(1994,220)
(1995,220)
(1996,220)
(1997,220)
(1998,220)
(1999,220)
(2000,220)
(2001,220)
(2002,220)
(2003,220)
(2004,220)
(2005,220)
(2006,220)
((2013,Comedy),283.1,6.291111111111111)
((2013,Crime),120.1,6.672222222222222)
((2013,Drama),309.00000000000006,6.717391304347827)
((2013,Fantasy),6.5,6.5)
((2013,Horror),61.3,6.13)
((2013,Mystery),14.100000000000001,7.050000000000001)
((2014,Action),307.6999999999999,6.410416666666664)
((2014,Adventure),88.60000000000001,6.815384615384616)
((2014,Animation),86.19999999999999,7.183333333333333)
((2014,Biography),99.10000000000001,7.078571428571429)
((2014,Comedy),355.29999999999995,6.344642857142857)
((2014,Crime),107.59999999999997,6.724999999999998)
((2014,Drama),314.79999999999995,6.697872340425531)
((2014,Horror),58.7,5.87)
((2014,Mystery),13.0,6.5)
((2014,Romance),6.2,6.2)
((2014,Sci-Fi),6.1,6.1)
((2015,Action),301.4,6.412765957446808)
((2015,Adventure),73.0,6.636363636363637)
((2015,Animation),81.1,6.758333333333333)
((2015,Biography),160.20000000000002,6.965217391304349)
((2015,Comedy),320.2,6.404)
((2015,Crime),67.7,6.7700000000000005)
((2015,Drama),347.40000000000003,6.554716981132076)
((2015,Horror),55.70000000000001,5.570000000000001)
((2015,Mystery),4.7,4.7)
((2015,Sci-Fi),6.4,6.4)
((2015,Thriller),5.2,5.2)
((2015,Western),6.9,6.9)
((2016,Action),388.5,6.368852459016393)
((2016,Adventure),108.80000000000003,6.800000000000002)
((2016,Animation),125.49999999999999,6.972222222222221)
((2016,Biography),163.6,7.113043478260869)
((2016,Comedy),255.89999999999995,6.397499999999999)
((2016,Crime),68.7,6.87)
((2016,Drama),244.80000000000004,6.616216216216217)
((2016,Horror),85.2,5.680000000000001)
